"PhoneNumber","Friendly","Type","AreaCode","MatchWord","MatchDigits","Region","Locality","RateCenter","Lata","Score"
"+18442397446","(844) 239-7446","TollFree",,"SIGN","7446",,,,,"195"
"+18667487446","(866) 748-7446","TollFree",,"SIGN","7446",,,,,"195"
"+17272025378","(727) 202-5378","Local","727","ALERT","25378","FL","Saint Petersburg","STPETERSBG","952","175"
"+13523205433","(352) 320-5433","Local","352","LIFE","5433","FL","Belleview","BELLEVIEW","45403","170"
"+13527557233","(352) 755-7233","Local","352","SAFE","7233","US",,,,"170"
"+13527685433","(352) 768-5433","Local","352","LIFE","5433","US",,,,"170"
"+13528107446","(352) 810-7446","Local","352","SIGN","7446","US",,,,"170"
"+17272025433","(727) 202-5433","Local","727","LIFE","5433","FL","Saint Petersburg","STPETERSBG","952","170"
"+17276177446","(727) 617-7446","Local","727","SIGN","7446","US",,,,"170"
"+19047587233","(904) 758-7233","Local","904","SAFE","7233","FL","Jacksonville Beach","JACKSOLBCH","452","170"
"+19047757446","(904) 775-7446","Local","904","SIGN","7446","FL","Fernandina Beach","FERNADNBCH","452","170"
"+19047887446","(904) 788-7446","Local","904","SIGN","7446","FL","Saint Johns","ST JOHNS","452","170"
"+18773646741","(877) 364-6741","TollFree",,"SENIOR","736467",,,,,"105"
"+18335543302","(833) 554-3302","TollFree",,"LIFE","5433",,,,,"95"
"+18335744688","(833) 574-4688","TollFree",,"SIGN","7446",,,,,"95"
"+18337154335","(833) 715-4335","TollFree",,"LIFE","5433",,,,,"95"
"+18339543352","(833) 954-3352","TollFree",,"LIFE","5433",,,,,"95"
"+18442273938","(844) 227-3938","TollFree",,"CARE","2273",,,,,"95"
"+18444222736","(844) 422-2736","TollFree",,"CARE","2273",,,,,"95"
"+18445227381","(844) 522-7381","TollFree",,"CARE","2273",,,,,"95"
"+18445433061","(844) 543-3061","TollFree",,"LIFE","5433",,,,,"95"
"+18445433183","(844) 543-3183","TollFree",,"LIFE","5433",,,,,"95"
"+18445433470","(844) 543-3470","TollFree",,"LIFE","5433",,,,,"95"
"+18445433581","(844) 543-3581","TollFree",,"LIFE","5433",,,,,"95"
"+18445433654","(844) 543-3654","TollFree",,"LIFE","5433",,,,,"95"
"+18445433658","(844) 543-3658","TollFree",,"LIFE","5433",,,,,"95"
"+18445433659","(844) 543-3659","TollFree",,"LIFE","5433",,,,,"95"
"+18447227360","(844) 722-7360","TollFree",,"CARE","2273",,,,,"95"
"+18447233157","(844) 723-3157","TollFree",,"SAFE","7233",,,,,"95"
"+18447233709","(844) 723-3709","TollFree",,"SAFE","7233",,,,,"95"
"+18552723358","(855) 272-3358","TollFree",,"SAFE","7233",,,,,"95"
"+18553072336","(855) 307-2336","TollFree",,"SAFE","7233",,,,,"95"
"+18554330859","(855) 433-0859","TollFree",,"LIFE","5433",,,,,"95"
"+18554332968","(855) 433-2968","TollFree",,"LIFE","5433",,,,,"95"
"+18554336365","(855) 433-6365","TollFree",,"LIFE","5433",,,,,"95"
"+18554338650","(855) 433-8650","TollFree",,"LIFE","5433",,,,,"95"
"+18554338739","(855) 433-8739","TollFree",,"LIFE","5433",,,,,"95"
"+18555472333","(855) 547-2333","TollFree",,"SAFE","7233",,,,,"95"
"+18555543340","(855) 554-3340","TollFree",,"LIFE","5433",,,,,"95"
"+18556774464","(855) 677-4464","TollFree",,"SIGN","7446",,,,,"95"
"+18556872331","(855) 687-2331","TollFree",,"SAFE","7233",,,,,"95"
"+18557233106","(855) 723-3106","TollFree",,"SAFE","7233",,,,,"95"
"+18557233503","(855) 723-3503","TollFree",,"SAFE","7233",,,,,"95"
"+18557233675","(855) 723-3675","TollFree",,"SAFE","7233",,,,,"95"
"+18557233902","(855) 723-3902","TollFree",,"SAFE","7233",,,,,"95"
"+18557723317","(855) 772-3317","TollFree",,"SAFE","7233",,,,,"95"
"+18557723318","(855) 772-3318","TollFree",,"SAFE","7233",,,,,"95"
"+18557723332","(855) 772-3332","TollFree",,"SAFE","7233",,,,,"95"
"+18558122731","(855) 812-2731","TollFree",,"CARE","2273",,,,,"95"
"+18666972331","(866) 697-2331","TollFree",,"SAFE","7233",,,,,"95"
"+18668543351","(866) 854-3351","TollFree",,"LIFE","5433",,,,,"95"
"+18668972332","(866) 897-2332","TollFree",,"SAFE","7233",,,,,"95"
"+18669854337","(866) 985-4337","TollFree",,"LIFE","5433",,,,,"95"
"+18774172331","(877) 417-2331","TollFree",,"SAFE","7233",,,,,"95"
"+18774174469","(877) 417-4469","TollFree",,"SIGN","7446",,,,,"95"
"+18774460062","(877) 446-0062","TollFree",,"SIGN","7446",,,,,"95"
"+18774461373","(877) 446-1373","TollFree",,"SIGN","7446",,,,,"95"
"+18774461772","(877) 446-1772","TollFree",,"SIGN","7446",,,,,"95"
"+18774464326","(877) 446-4326","TollFree",,"SIGN","7446",,,,,"95"
"+18774464750","(877) 446-4750","TollFree",,"SIGN","7446",,,,,"95"
"+18774465867","(877) 446-5867","TollFree",,"SIGN","7446",,,,,"95"
"+18774467065","(877) 446-7065","TollFree",,"SIGN","7446",,,,,"95"
"+18774467174","(877) 446-7174","TollFree",,"SIGN","7446",,,,,"95"
"+18774467311","(877) 446-7311","TollFree",,"SIGN","7446",,,,,"95"
"+18774467841","(877) 446-7841","TollFree",,"SIGN","7446",,,,,"95"
"+18774467890","(877) 446-7890","TollFree",,"SIGN","7446",,,,,"95"
"+18774468062","(877) 446-8062","TollFree",,"SIGN","7446",,,,,"95"
"+18774468634","(877) 446-8634","TollFree",,"SIGN","7446",,,,,"95"
"+18774468859","(877) 446-8859","TollFree",,"SIGN","7446",,,,,"95"
"+18777446219","(877) 744-6219","TollFree",,"SIGN","7446",,,,,"95"
"+18779954337","(877) 995-4337","TollFree",,"LIFE","5433",,,,,"95"
"+18884954330","(888) 495-4330","TollFree",,"LIFE","5433",,,,,"95"
"+13527364671","(352) 736-4671","Local","352","SENIOR","736467","US",,,,"80"
"+19047364676","(904) 736-4676","Local","904","SENIOR","736467","FL","Middleburg","MIDDLEBURG","452","80"
"+13525378949","(352) 537-8949","Local","352","ALERT","25378","FL","Silver Springs Shores","SLRSPGSHRS","45403","75"
"+13522543313","(352) 254-3313","Local","352","LIFE","5433","FL","Bushnell","BUSHNELL","45403","70"
"+13526072332","(352) 607-2332","Local","352","SAFE","7233","FL","Homosassa Springs","INVERNESS","45403","70"
"+13527222734","(352) 722-2734","Local","352","CARE","2273","US",,,,"70"
"+13527574466","(352) 757-4466","Local","352","SIGN","7446","US",,,,"70"
"+17272054338","(727) 205-4338","Local","727","LIFE","5433","FL","Clearwater","CLEARWATER","952","70"
"+17272334772","(727) 233-4772","Local","727","SAFE","7233","FL","Hudson","HUDSON","952","70"
"+17272337230","(727) 233-7230","Local","727","SAFE","7233","FL","Hudson","HUDSON","952","70"
"+17272337237","(727) 233-7237","Local","727","SAFE","7233","FL","Hudson","HUDSON","952","70"
"+17272337238","(727) 233-7238","Local","727","SAFE","7233","FL","Hudson","HUDSON","952","70"
"+17272337608","(727) 233-7608","Local","727","SAFE","7233","FL","Hudson","HUDSON","952","70"
"+17272337742","(727) 233-7742","Local","727","SAFE","7233","FL","Hudson","HUDSON","952","70"
"+17272337759","(727) 233-7759","Local","727","SAFE","7233","FL","Hudson","HUDSON","952","70"
"+17272337765","(727) 233-7765","Local","727","SAFE","7233","FL","Hudson","HUDSON","952","70"
