"Path","LineNumber","Line"
"C:\Users\Shari\Downloads\lifesignal_live\app\dashboard\page.tsx","72","<a href=""/api/stripe/portal"">"
"C:\Users\Shari\Downloads\lifesignal_live\app\dashboard\page.tsx","188","<a href=""/api/stripe/portal"">"
"C:\Users\Shari\Downloads\lifesignal_live\app\dashboard\page.tsx","245","<a href=""/api/stripe/portal""><Button variant=""ghost"">Manage billing</Button></a>"
"C:\Users\Shari\Downloads\lifesignal_live\app\privacy\page.tsx","11","<p><span className=""font-semibold text-brand-navy"">Messaging providers:</span> SMS and voice are delivered through Twilio. Payments are processed through Stripe.</p>"
"C:\Users\Shari\Downloads\lifesignal_live\components\PricingTable.tsx","141","<p className=""mt-2 text-xs text-neutral-500"">Checkout is secured by Stripe.</p>"
"C:\Users\Shari\Downloads\lifesignal_live\lib\env.ts","19","// Stripe (optional if you migrated away)"
"C:\Users\Shari\Downloads\lifesignal_live\lib\env.ts","20","STRIPE_SECRET_KEY: z.string().min(5).optional(),"
"C:\Users\Shari\Downloads\lifesignal_live\lib\env.ts","21","STRIPE_WEBHOOK_SECRET: z.string().min(5).optional(),"
"C:\Users\Shari\Downloads\lifesignal_live\lib\env.ts","22","STRIPE_PRICE_CHECKIN_MONTHLY: z.string().min(5).optional(),"
"C:\Users\Shari\Downloads\lifesignal_live\lib\env.ts","23","STRIPE_PRICE_CHECKIN_ANNUAL: z.string().min(5).optional(),"
"C:\Users\Shari\Downloads\lifesignal_live\lib\env.ts","24","STRIPE_PRICE_ASSURANCE_MONTHLY: z.string().min(5).optional(),"
"C:\Users\Shari\Downloads\lifesignal_live\lib\env.ts","25","STRIPE_PRICE_ASSURANCE_ANNUAL: z.string().min(5).optional(),"
"C:\Users\Shari\Downloads\lifesignal_live\lib\env.ts","26","STRIPE_PRICE_FACILITY_MONTHLY: z.string().min(5).optional(),"
"C:\Users\Shari\Downloads\lifesignal_live\lib\env.ts","27","STRIPE_PRICE_FACILITY_ANNUAL: z.string().min(5).optional(),"
"C:\Users\Shari\Downloads\lifesignal_live\lib\env.ts","54","STRIPE_SECRET_KEY: process.env.STRIPE_SECRET_KEY,"
"C:\Users\Shari\Downloads\lifesignal_live\lib\env.ts","55","STRIPE_WEBHOOK_SECRET: process.env.STRIPE_WEBHOOK_SECRET,"
"C:\Users\Shari\Downloads\lifesignal_live\lib\env.ts","56","STRIPE_PRICE_CHECKIN_MONTHLY: process.env.STRIPE_PRICE_CHECKIN_MONTHLY,"
"C:\Users\Shari\Downloads\lifesignal_live\lib\env.ts","57","STRIPE_PRICE_CHECKIN_ANNUAL: process.env.STRIPE_PRICE_CHECKIN_ANNUAL,"
"C:\Users\Shari\Downloads\lifesignal_live\lib\env.ts","58","STRIPE_PRICE_ASSURANCE_MONTHLY: process.env.STRIPE_PRICE_ASSURANCE_MONTHLY,"
"C:\Users\Shari\Downloads\lifesignal_live\lib\env.ts","59","STRIPE_PRICE_ASSURANCE_ANNUAL: process.env.STRIPE_PRICE_ASSURANCE_ANNUAL,"
"C:\Users\Shari\Downloads\lifesignal_live\lib\env.ts","60","STRIPE_PRICE_FACILITY_MONTHLY: process.env.STRIPE_PRICE_FACILITY_MONTHLY,"
"C:\Users\Shari\Downloads\lifesignal_live\lib\env.ts","61","STRIPE_PRICE_FACILITY_ANNUAL: process.env.STRIPE_PRICE_FACILITY_ANNUAL,"
"C:\Users\Shari\Downloads\lifesignal_live\lib\env.ts","103","!env.STRIPE_SECRET_KEY && ""STRIPE_SECRET_KEY"","
"C:\Users\Shari\Downloads\lifesignal_live\lib\env.ts","104","!env.STRIPE_WEBHOOK_SECRET && ""STRIPE_WEBHOOK_SECRET"","
"C:\Users\Shari\Downloads\lifesignal_live\lib\env.ts","105","!env.STRIPE_PRICE_CHECKIN_MONTHLY && ""STRIPE_PRICE_CHECKIN_MONTHLY"","
"C:\Users\Shari\Downloads\lifesignal_live\lib\env.ts","106","!env.STRIPE_PRICE_CHECKIN_ANNUAL && ""STRIPE_PRICE_CHECKIN_ANNUAL"","
"C:\Users\Shari\Downloads\lifesignal_live\lib\env.ts","107","!env.STRIPE_PRICE_ASSURANCE_MONTHLY && ""STRIPE_PRICE_ASSURANCE_MONTHLY"","
"C:\Users\Shari\Downloads\lifesignal_live\lib\env.ts","108","!env.STRIPE_PRICE_ASSURANCE_ANNUAL && ""STRIPE_PRICE_ASSURANCE_ANNUAL"","
"C:\Users\Shari\Downloads\lifesignal_live\lib\env.ts","109","!env.STRIPE_PRICE_FACILITY_MONTHLY && ""STRIPE_PRICE_FACILITY_MONTHLY"","
"C:\Users\Shari\Downloads\lifesignal_live\lib\env.ts","110","!env.STRIPE_PRICE_FACILITY_ANNUAL && ""STRIPE_PRICE_FACILITY_ANNUAL"""
"C:\Users\Shari\Downloads\lifesignal_live\lib\env.ts","114","throw new Error(`Stripe billing is not configured. Missing: ${missing.join("", "")}`);"
"C:\Users\Shari\Downloads\lifesignal_live\lib\plans.ts","10","return env.STRIPE_PRICE_CHECKIN_MONTHLY;"
"C:\Users\Shari\Downloads\lifesignal_live\lib\plans.ts","12","return env.STRIPE_PRICE_CHECKIN_ANNUAL;"
"C:\Users\Shari\Downloads\lifesignal_live\lib\plans.ts","14","return env.STRIPE_PRICE_ASSURANCE_MONTHLY;"
"C:\Users\Shari\Downloads\lifesignal_live\lib\plans.ts","16","return env.STRIPE_PRICE_ASSURANCE_ANNUAL;"
"C:\Users\Shari\Downloads\lifesignal_live\lib\plans.ts","18","return env.STRIPE_PRICE_FACILITY_MONTHLY;"
"C:\Users\Shari\Downloads\lifesignal_live\lib\plans.ts","20","return env.STRIPE_PRICE_FACILITY_ANNUAL;"
"C:\Users\Shari\Downloads\lifesignal_live\lib\stripe.ts","1","import Stripe from ""stripe"";"
